"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"","Aaron Ekblad","FLA","D","22","1996-02-07","Windsor","ON","CAN","CAN","76","216","2014","FLA","1","1","1"
"","Aaron Volpatti","WSH","L","33","1985-05-30","Revelstoke","BC","CAN","CAN","72","215","-","-","-","-","-"
"","Adam Burish","S.J","R","35","1983-01-06","Madison","WI","USA","USA","73","195","2002","CHI","9","22","282"
"","Adam Clendening","CHI, VAN","D","25","1992-10-26","Niagara Falls","NY","USA","USA","72","196","2011","CHI","2","6","36"
"","Adam Cracknell","CBJ","R","33","1985-07-15","Prince Albert","SK","CAN","CAN","74","218","2004","CGY","9","21","279"
"","Adam Henrique","N.J","C","28","1990-02-06","Brantford","ON","CAN","CAN","72","195","2008","N.J","3","21","82"
"","Adam Larsson","N.J","D","25","1992-11-12","Skellefteå","","SWE","SWE","75","210","2011","N.J","1","4","4"
"","Adam Lowry","WPG","C","25","1993-03-29","St. Louis","MO","USA","USA","77","210","2011","WPG","3","6","67"
"","Adam McQuaid","BOS","D","31","1986-10-12","Charlottetown","PE","CAN","CAN","76","212","2005","CBJ","2","25","55"
"","Adam Pardy","WPG","D","34","1984-03-29","Bonavista","NL","CAN","CAN","76","227","2004","CGY","6","10","173"
"","Alec Martinez","L.A","D","31","1987-07-26","Rochester Hills","MI","USA","USA","73","208","2007","L.A","4","4","95"
"","Aleksander Barkov","FLA","C","23","1995-09-02","Tampere","","FIN","FIN","75","213","2013","FLA","1","2","2"
"","Ales Hemsky","DAL","R","35","1983-08-13","Pardubice","","CZE","CZE","72","177","2001","EDM","1","13","13"
"","Alex Biega","VAN","D","30","1988-04-04","Montreal","QC","CAN","CAN","70","193","2006","BUF","5","24","147"
"","Alex Chiasson","OTT","R","27","1990-10-01","Montreal","QC","CAN","CAN","76","208","2009","DAL","2","8","38"
"","Alex Galchenyuk","MTL","C","24","1994-02-12","Milwaukee","WI","USA","USA","73","207","2012","MTL","1","3","3"
"","Alex Goligoski","DAL","D","33","1985-07-30","Grand Rapids","MN","USA","USA","71","185","2004","PIT","2","31","61"
"","Alex Khokhlachev","BOS","C","25","1993-09-09","Moscow","","RUS","RUS","70","181","2011","BOS","2","10","40"
"","Alex Killorn","T.B","L","29","1989-09-14","Halifax","NS","CAN","CAN","73","196","2007","T.B","3","16","77"
"","Alex Ovechkin","WSH","L","33","1985-09-17","Moscow","","RUS","RUS","75","235","2004","WSH","1","1","1"
"","Alex Petrovic","FLA","D","26","1992-03-03","Edmonton","AB","CAN","CAN","76","206","2010","FLA","2","6","36"
"","Alex Pietrangelo","STL","D","28","1990-01-18","King City","ON","CAN","CAN","75","210","2008","STL","1","4","4"
"","Alex Tanguay","COL","L","38","1979-11-21","Ste-Justine","QC","CAN","CAN","73","194","1998","COL","1","12","12"
"","Alexander Edler","VAN","D","32","1986-04-21","Ostersund","","SWE","SWE","75","214","2004","VAN","3","26","91"
"","Alexander Semin","CAR","R","34","1984-03-03","Krasnojarsk","","RUS","RUS","74","211","2002","WSH","1","13","13"
"","Alexander Steen","STL","L","34","1984-03-01","Winnipeg","MB","CAN","SWE","72","211","2002","TOR","1","24","24"
"","Alexander Wennberg","CBJ","C","23","1994-09-22","Stockholm","","SWE","SWE","74","196","2013","CBJ","1","14","14"
"","Alexandre Bolduc","ARI","C","33","1985-06-26","Montreal","QC","CAN","CAN","75","200","2003","STL","4","26","127"
"","Alexandre Burrows","VAN","L","37","1981-04-11","Pincourt","QC","CAN","CAN","73","197","-","-","-","-","-"
"","Alexei Emelin","MTL","D","32","1986-04-25","Togliatti","","RUS","RUS","74","218","2004","MTL","3","19","84"
"","Alexey Marchenko","DET","D","26","1992-01-02","Moscow","","RUS","RUS","75","210","2011","DET","7","24","205"
"","Anders Lee","NYI","L","28","1990-07-03","Edina","MN","USA","USA","75","231","2009","NYI","6","1","152"
"","Andre Benoit","BUF","D","34","1984-01-06","St. Albert","ON","CAN","CAN","71","190","-","-","-","-","-"
"","Andre Burakovsky","WSH","L","23","1995-02-09","Klagenfurt","","AUT","SWE","75","201","2013","WSH","1","23","23"
"","Andrei Markov","MTL","D","39","1978-12-20","Voskresensk","","RUS","RUS","72","200","1998","MTL","6","17","162"
"","Andrej Meszaros","BUF","D","32","1985-10-13","Povaská Bystrica","","SVK","SVK","74","223","2004","OTT","1","23","23"
"","Andrej Nestrasil","CAR, DET","C","27","1991-02-22","Prague","","CZE","CZE","75","200","2009","DET","3","14","75"
"","Andrej Sekera","CAR, L.A","D","32","1986-06-08","Bojnice","","SVK","SVK","72","200","2004","BUF","3","6","71"
"","Andrej Sustr","T.B","D","27","1990-11-29","Plzen","","CZE","CZE","79","220","-","-","-","-","-"
"","Andrew Agozzino","COL","L","27","1991-01-03","Kleinburg","ON","CAN","CAN","70","187","-","-","-","-","-"
"","Andrew Campbell","ARI","D","30","1988-02-04","Caledonia","ON","CAN","CAN","76","205","2008","L.A","3","13","74"
"","Andrew Cogliano","ANA","L","31","1987-06-14","Toronto","ON","CAN","CAN","70","177","2005","EDM","1","25","25"
"","Andrew Copp","WPG","C","24","1994-07-08","Ann Arbor","MI","USA","USA","73","206","2013","WPG","4","13","104"
"","Andrew Desjardins","CHI, S.J","L","32","1986-07-27","Lively","ON","CAN","CAN","73","195","-","-","-","-","-"
"","Andrew Ebbett","PIT","C","35","1983-01-02","Vernon","BC","CAN","CAN","69","174","-","-","-","-","-"
"","Andrew Ference","EDM","D","39","1979-03-17","Edmonton","AB","CAN","CAN","71","182","1997","PIT","8","18","208"
"","Andrew Ladd","WPG","L","32","1985-12-12","Maple Ridge","BC","CAN","CAN","75","192","2004","CAR","1","4","4"
"","Andrew MacDonald","PHI","D","32","1986-09-07","Judique","NS","CAN","CAN","73","204","2006","NYI","6","7","160"
"","Andrew MacWilliam","TOR","D","28","1990-03-25","Calgary","AB","CAN","CAN","74","223","2008","TOR","7","7","188"
"","Andrew Miller","EDM","C","30","1988-09-18","Bloomfield Hills","MI","USA","USA","70","181","-","-","-","-","-"
"","Andrew Shaw","CHI","C","27","1991-07-20","Belleville","ON","CAN","CAN","71","182","2011","CHI","5","18","139"
"","Andy Andreoff","L.A","L","27","1991-05-17","Pickering","ON","CAN","CAN","73","203","2011","L.A","3","19","80"
"","Andy Greene","N.J","D","35","1982-10-30","Trenton","MI","USA","USA","71","190","-","-","-","-","-"
"","Anthony Bitetto","NSH","D","28","1990-07-15","Island Park","NY","USA","USA","73","210","2010","NSH","6","18","168"
"","Anthony Duclair","NYR","L","23","1995-08-26","Pointe-Claire","QC","CAN","CAN","71","191","2013","NYR","3","19","80"
"","Anthony Peluso","WPG","R","29","1989-04-18","North York","ON","CAN","CAN","75","225","2007","STL","6","9","160"
"","Antoine Roussel","DAL","L","28","1989-11-21","Roubaix","","FRA","FRA","71","195","-","-","-","-","-"
"","Antoine Vermette","ARI, CHI","C","36","1982-07-20","St. Agapit","QC","CAN","CAN","73","197","2000","OTT","2","25","55"
"","Anton Lander","EDM","C","27","1991-04-24","Sundsvall","","SWE","SWE","72","184","2009","EDM","2","10","40"
"","Anton Stralman","T.B","D","32","1986-08-01","Tibro","","SWE","SWE","71","190","2005","TOR","7","22","216"
"","Anton Volchenkov","NSH","D","36","1982-02-25","Moscow","","RUS","RUS","73","220","2000","OTT","1","21","21"
"","Anze Kopitar","L.A","C","31","1987-08-24","Jesenice","","SVN","SVN","75","224","2005","L.A","1","11","11"
"","Artem Anisimov","CBJ","C","30","1988-05-24","Yaroslavl","","RUS","RUS","76","198","2006","NYR","2","24","54"
"","B.J. Crombeen","ARI","R","33","1985-07-10","Denver","CO","USA","USA","74","209","2003","DAL","2","24","54"
"","Barclay Goodrow","S.J","R","25","1993-02-26","Toronto","ON","CAN","CAN","74","210","-","-","-","-","-"
"","Barret Jackman","STL","D","37","1981-03-05","Trail","BC","CAN","CAN","72","203","1999","STL","1","17","17"
"","Beau Bennett","PIT","R","26","1991-11-27","Gardena","CA","USA","USA","74","195","2010","PIT","1","20","20"
"","Ben Chiarot","WPG","D","27","1991-05-09","Hamilton","ON","CAN","CAN","75","219","2009","ATL","4","29","120"
"","Ben Lovejoy","ANA, PIT","D","34","1984-02-20","Concord","NH","USA","USA","73","205","-","-","-","-","-"
"","Ben Smith","CHI, S.J","R","30","1988-07-11","Winston-Salem","NC","USA","USA","71","203","2008","CHI","6","18","169"
"","Ben Street","COL","C","31","1987-02-13","Coquitlam","BC","CAN","CAN","71","200","-","-","-","-","-"
"","Benoit Pouliot","EDM","L","31","1986-09-29","Alfred","ON","CAN","CAN","75","200","2005","MIN","1","4","4"
"","Blair Jones","PHI","C","31","1986-09-27","Central Butte","SK","CAN","CAN","74","216","2005","T.B","4","11","102"
"","Blake Comeau","PIT","L","32","1986-02-18","Meadow Lake","SK","CAN","CAN","73","202","2004","NYI","2","17","47"
"","Blake Wheeler","WPG","R","32","1986-08-31","Plymouth","MN","USA","USA","77","225","2004","PHX","1","5","5"
"","Bo Horvat","VAN","C","23","1995-04-05","London","ON","CAN","CAN","72","223","2013","VAN","1","9","9"
"","Bobby Farnham","PIT","R","29","1989-01-21","North Andover","MA","USA","USA","70","190","-","-","-","-","-"
"","Bobby Robins","BOS","R","36","1981-10-17","Rhinelander","WI","USA","USA","73","220","-","-","-","-","-"
"","Bobby Ryan","OTT","R","31","1987-03-17","Cherry Hill","NJ","USA","USA","74","204","2005","ANA","1","2","2"
"","Bogdan Yakimov","EDM","C","23","1994-10-04","Nizhnekamsk","","RUS","RUS","77","232","2013","EDM","3","22","83"
"","Boone Jenner","CBJ","C","25","1993-06-15","Dorchester","ON","CAN","CAN","74","206","2011","CBJ","2","7","37"
"","Borna Rendulic","COL","R","26","1992-03-25","Zagreb","","HRV","HRV","74","200","-","-","-","-","-"
"","Boyd Gordon","EDM","C","34","1983-10-19","Unity","SK","CAN","CAN","72","200","2002","WSH","1","17","17"
"","Brad Boyes","FLA","R","36","1982-04-17","Mississauga","ON","CAN","CAN","72","199","2000","TOR","1","24","24"
"","Brad Hunt","EDM","D","30","1988-08-24","Maple Ridge","BC","CAN","CAN","69","187","-","-","-","-","-"
"","Brad Malone","CAR","C","29","1989-05-20","Miramichi","NB","CAN","CAN","73","213","2007","COL","4","14","105"
"","Brad Marchand","BOS","L","30","1988-05-11","Halifax","NS","CAN","CAN","69","181","2006","BOS","3","8","71"
"","Brad Richards","CHI","C","38","1980-05-02","Murray Hbr.","PE","CAN","CAN","72","199","1998","T.B","3","6","64"
"","Brad Richardson","VAN","C, R","33","1985-02-04","Belleville","ON","CAN","CAN","72","190","2003","COL","5","27","163"
"","Brad Stuart","COL","D","38","1979-11-06","Rocky Mountain House","AB","CAN","CAN","74","215","1998","S.J","1","3","3"
"","Brandon Bollig","CGY","L","31","1987-01-31","St. Charles","MO","USA","USA","74","220","-","-","-","-","-"
"","Brandon Davidson","EDM","D","27","1991-08-21","Taber","AB","CAN","CAN","74","208","2010","EDM","6","12","162"
"","Brandon DeFazio","VAN","L","30","1988-09-13","Etobicoke","ON","CAN","CAN","74","199","-","-","-","-","-"
"","Brandon Dubinsky","CBJ","C","32","1986-04-29","Anchorage","AK","USA","USA","74","205","2004","NYR","2","30","60"
"","Brandon Gormley","ARI","D","26","1992-02-18","Murray River","PE","CAN","CAN","74","196","2010","PHX","1","13","13"
"","Brandon Kozun","TOR","R","28","1990-03-08","Los Angeles","CA","USA","USA","68","167","2009","L.A","6","28","179"
"","Brandon Manning","PHI","D","28","1990-06-04","Prince George","BC","CAN","CAN","73","205","-","-","-","-","-"
"","Brandon McMillan","ARI, VAN","L","28","1990-03-22","Richmond","BC","CAN","CAN","71","190","2008","ANA","3","24","85"
"","Brandon Pirri","FLA","R","27","1991-04-10","Toronto","ON","CAN","CAN","72","186","2009","CHI","2","29","59"
"","Brandon Prust","MTL","L","34","1984-03-16","London","ON","CAN","CAN","72","195","2004","CGY","3","5","70"
"","Brandon Saad","CHI","L","25","1992-10-27","Pittsburgh","PA","USA","USA","73","206","2011","CHI","2","13","43"
"","Brandon Sutter","PIT","C","29","1989-02-14","Huntington","NY","USA","CAN","75","191","2007","CAR","1","11","11"
"","Brayden McNabb","L.A","D","27","1991-01-21","Davidson","SK","CAN","CAN","76","212","2009","BUF","3","5","66"
"","Brayden Schenn","PHI","C","27","1991-08-22","Saskatoon","SK","CAN","CAN","73","200","2009","L.A","1","5","5"
"","Braydon Coburn","PHI, T.B","D","33","1985-02-27","Shaunavon","SK","CAN","CAN","77","223","2003","ATL","1","8","8"
"","Brendan Gallagher","MTL","R","26","1992-05-06","Edmonton","AB","CAN","CAN","69","181","2010","MTL","5","27","147"
"","Brendan Ranford","DAL","L","26","1992-05-03","Edmonton","AB","CAN","CAN","70","205","2010","PHI","7","29","209"
"","Brendan Shinnimin","ARI","C","27","1991-01-07","Winnipeg","MB","CAN","CAN","70","185","-","-","-","-","-"
"","Brendan Smith","DET","D","29","1989-02-08","Mimico","ON","CAN","CAN","74","211","2007","DET","1","27","27"
"","Brendan Woods","CAR","L","26","1992-06-11","Humboldt","SK","CAN","CAN","76","210","2012","CAR","5","8","129"
"","Brenden Dillon","DAL, S.J","D","27","1990-11-13","New Westminster","BC","CAN","CAN","76","225","-","-","-","-","-"
"","Brenden Morrow","T.B","L","39","1979-01-16","Carlyle","SK","CAN","CAN","71","212","1997","DAL","1","25","25"
"","Brent Burns","S.J","D","33","1985-03-09","Barrie","ON","CAN","CAN","77","230","2003","MIN","1","20","20"
"","Brent Seabrook","CHI","D","33","1985-04-20","Richmond","BC","CAN","CAN","75","220","2003","CHI","1","14","14"
"","Brett Bellemore","CAR","D","30","1988-06-25","Windsor","ON","CAN","CAN","76","225","2007","CAR","6","11","162"
"","Brett Connolly","BOS, T.B","R","26","1992-05-02","Campbell River","BC","CAN","CAN","75","195","2010","T.B","1","6","6"
"","Brett Kulak","CGY","D","24","1994-01-06","Edmonton","AB","CAN","CAN","74","187","2012","CGY","4","14","105"
"","Brett Ritchie","DAL","R","25","1993-07-01","Orangeville","ON","CAN","CAN","75","217","2011","DAL","2","14","44"
"","Brett Sutter","MIN","L","31","1987-06-02","Viking","AB","CAN","CAN","72","200","2005","CGY","6","17","179"
"","Brian Boyle","T.B","C","33","1984-12-18","Hingham","MA","USA","USA","78","245","2003","L.A","1","26","26"
"","Brian Campbell","FLA","D","39","1979-05-23","Strathroy","ON","CAN","CAN","70","192","1997","BUF","6","22","156"
"","Brian Dumoulin","PIT","D","27","1991-09-06","Biddeford","ME","USA","USA","76","207","2009","CAR","2","21","51"
"","Brian Ferlin","BOS","R","26","1992-06-03","Jacksonville","FL","USA","USA","74","213","2011","BOS","4","30","121"
"","Brian Flynn","BUF, MTL","C","30","1988-07-26","Lynnfield","MA","USA","USA","73","183","-","-","-","-","-"
"","Brian Gibbons","CBJ","C","30","1988-02-26","Braintree","MA","USA","USA","68","175","-","-","-","-","-"
"","Brian Gionta","BUF","R","39","1979-01-18","Rochester","NY","USA","USA","67","178","1998","N.J","3","24","82"
"","Brian Lashoff","DET","D","28","1990-07-16","Albany","NY","USA","USA","75","219","-","-","-","-","-"
"","Brian McGrattan","CGY","R","37","1981-09-02","Hamilton","ON","CAN","CAN","76","235","1999","L.A","4","8","104"
"","Brian Strait","NYI","D","30","1988-01-04","Waltham","MA","USA","USA","73","206","2006","PIT","3","2","65"
"","Brock Nelson","NYI","C","26","1991-10-15","Warroad","MN","USA","USA","75","212","2010","NYI","1","30","30"
"","Brody Sutter","CAR","C","26","1991-09-26","Viking","AB","CAN","CAN","77","203","2011","CAR","7","12","193"
"","Brooks Laich","WSH","C","35","1983-06-23","Wawota","SK","CAN","CAN","74","200","2001","OTT","6","28","193"
"","Brooks Orpik","WSH","D","37","1980-09-26","San Francisco","CA","USA","USA","75","217","2000","PIT","1","18","18"
"","Bryan Allen","ANA, MTL","D","38","1980-08-21","Kingston","ON","CAN","CAN","77","223","1998","VAN","1","4","4"
"","Bryan Bickell","CHI","L","32","1986-03-09","Bowmanville","ON","CAN","CAN","76","223","2004","CHI","2","11","41"
"","Bryan Lerg","S.J","C","32","1986-01-20","Livonia","MI","USA","USA","70","175","-","-","-","-","-"
"","Bryan Little","WPG","C","30","1987-11-12","Edmonton","AB","CAN","CAN","72","191","2006","ATL","1","12","12"
"","Bryan Rust","PIT","R","26","1992-05-11","Pontiac","MI","USA","USA","71","192","2010","PIT","3","20","80"
"","Bryce Salvador","N.J","D","42","1976-02-11","Brandon","MB","CAN","CAN","75","215","1994","T.B","6","8","138"
"","Cal Clutterbuck","NYI","R","30","1987-11-18","Welland","ON","CAN","CAN","71","216","2006","MIN","3","9","72"
"","Calle Jarnkrok","NSH","C","26","1991-09-25","Gävle","","SWE","SWE","71","186","2010","DET","2","21","51"
"","Calvin de Haan","NYI","D","27","1991-05-09","Carp","ON","CAN","CAN","73","198","2009","NYI","1","12","12"
"","Cam Atkinson","CBJ","R","29","1989-06-05","Riverside","CT","USA","USA","68","179","2008","CBJ","6","6","157"
"","Cam Fowler","ANA","D","26","1991-12-05","Windsor","ON","CAN","USA","73","215","2010","ANA","1","12","12"
"","Cameron Schilling","WSH","D","29","1988-10-07","Carmel","IN","USA","USA","74","182","-","-","-","-","-"
"","Carl Gunnarsson","STL","D","31","1986-11-09","Orebro","","SWE","SWE","74","198","2007","TOR","7","13","194"
"","Carl Hagelin","NYR","L","30","1988-08-23","Sodertalje","","SWE","SWE","71","186","2007","NYR","6","17","168"
"","Carl Klingberg","WPG","L","27","1991-01-28","Gothenburg","","SWE","SWE","75","205","2009","ATL","2","4","34"
"","Carl Soderberg","BOS","C","32","1985-10-12","Malmö","","SWE","SWE","75","210","2004","STL","2","19","49"
"","Carlo Colaiacovo","PHI","D","35","1983-01-27","Toronto","ON","CAN","CAN","73","202","2001","TOR","1","17","17"
"","Carter Ashton","TOR","R","27","1991-04-01","Winnipeg","MB","CAN","CAN","75","215","2009","T.B","1","29","29"
"","Casey Bailey","TOR","R","26","1991-10-27","Anchorage","AK","USA","USA","75","195","-","-","-","-","-"
"","Casey Cizikas","NYI","C","27","1991-02-27","Toronto","ON","CAN","CAN","71","200","2009","NYI","4","1","92"
"","Cedric Paquette","T.B","C","25","1993-08-13","Gaspe","QC","CAN","CAN","73","198","2012","T.B","4","10","101"
"","Chad Ruhwedel","BUF","D","28","1990-05-07","San Diego","CA","USA","USA","71","191","-","-","-","-","-"
"","Charlie Coyle","MIN","C","26","1992-03-02","E. Weymouth","MA","USA","USA","75","221","2010","S.J","1","28","28"
"","Chris Brown","WSH","R","27","1991-02-03","Flower Mound","TX","USA","USA","74","208","2009","PHX","2","6","36"
"","Chris Butler","STL","D","31","1986-10-27","St. Louis","MO","USA","USA","73","196","2005","BUF","4","5","96"
"","Chris Conner","WSH","R","34","1983-12-23","Westland","MI","USA","USA","67","181","-","-","-","-","-"
"","Chris Higgins","VAN","L","35","1983-06-02","Smithtown","NY","USA","USA","72","205","2002","MTL","1","14","14"
"","Chris Kelly","BOS","C","37","1980-11-11","Toronto","ON","CAN","CAN","72","190","1999","OTT","3","28","94"
"","Chris Kreider","NYR","L","27","1991-04-30","Boxford","MA","USA","USA","75","224","2009","NYR","1","19","19"
"","Chris Kunitz","PIT","L","38","1979-09-26","Regina","SK","CAN","CAN","72","195","-","-","-","-","-"
"","Chris Mueller","NYR","C","32","1986-03-06","West Seneca","NY","USA","USA","71","196","-","-","-","-","-"
"","Chris Neil","OTT","R","39","1979-06-18","Flesherton","ON","CAN","CAN","73","209","1998","OTT","6","16","161"
"","Chris Phillips","OTT","D","40","1978-03-09","Calgary","AB","CAN","CAN","75","219","1996","OTT","1","1","1"
"","Chris Porter","STL","L","34","1984-05-29","Toronto","ON","CAN","CAN","73","206","2003","CHI","9","21","282"
"","Chris Stewart","BUF, MIN","R","30","1987-10-30","Toronto","ON","CAN","CAN","74","242","2006","COL","1","18","18"
"","Chris Summers","ARI, NYR","D","30","1988-02-05","Ann Arbor","MI","USA","USA","74","207","2006","PHX","1","29","29"
"","Chris Terry","CAR","L","29","1989-04-07","Brampton","ON","CAN","CAN","70","191","2007","CAR","5","11","132"
"","Chris Thorburn","WPG","R","35","1983-06-03","Sault Ste. Marie","ON","CAN","CAN","75","235","2001","BUF","2","20","50"
"","Chris Tierney","S.J","C","24","1994-07-01","Keswick","ON","CAN","CAN","73","195","2012","S.J","2","25","55"
"","Chris VandeVelde","PHI","C","31","1987-03-15","Moorhead","MN","USA","USA","74","190","2005","EDM","4","6","97"
"","Chris Wagner","ANA","C","27","1991-05-27","Walpole","MA","USA","USA","72","198","2010","ANA","5","2","122"
"","Christian Ehrhoff","PIT","D","36","1982-07-06","Moers","","DEU","DEU","74","201","2001","S.J","4","10","106"
"","Christian Folin","MIN","D","27","1991-02-09","Gothenburg","","SWE","SWE","75","204","-","-","-","-","-"
"","Christian Thomas","MTL","L","26","1992-05-26","Toronto","ON","CAN","CAN","69","175","2010","NYR","2","10","40"
"","Christopher Tanev","VAN","D","28","1989-12-20","Toronto","ON","CAN","CAN","74","195","-","-","-","-","-"
"","Clarke MacArthur","OTT","L","33","1985-04-06","Lloydminster","AB","CAN","CAN","72","192","2003","BUF","3","6","74"
"","Claude Giroux","PHI","C","30","1988-01-12","Hearst","ON","CAN","CAN","71","185","2006","PHI","1","22","22"
"","Clayton Stoner","ANA","D","33","1985-02-19","Port McNeill","BC","CAN","CAN","76","216","2004","MIN","3","14","79"
"","Cody Ceci","OTT","D","24","1993-12-21","Ottawa","ON","CAN","CAN","74","207","2012","OTT","1","15","15"
"","Cody Eakin","DAL","C","27","1991-05-24","Winnipeg","MB","CAN","CAN","72","190","2009","WSH","3","24","85"
"","Cody Franson","NSH, TOR","D","31","1987-08-08","Sicamous","BC","CAN","CAN","77","224","2005","NSH","3","18","79"
"","Cody Goloubef","CBJ","D","28","1989-11-30","Mississauga","ON","CAN","CAN","73","200","2008","CBJ","2","7","37"
"","Cody Hodgson","BUF","C","28","1990-02-18","Toronto","ON","CAN","CAN","72","191","2008","VAN","1","10","10"
"","Cody McCormick","BUF","C","35","1983-04-18","London","ON","CAN","CAN","74","222","2001","COL","5","13","144"
"","Cody McLeod","COL","L","34","1984-06-26","Binscarth","MB","CAN","CAN","74","210","-","-","-","-","-"
"","Colby Robak","ANA, FLA","D","28","1990-04-24","Dauphin","MB","CAN","CAN","75","194","2008","FLA","2","16","46"
"","Colin Fraser","STL","C","33","1985-01-28","Sicamous","BC","CAN","CAN","73","190","2003","PHI","3","1","69"
"","Colin Greening","OTT","C","32","1986-03-09","St. John's","NL","CAN","CAN","74","210","2005","OTT","7","10","204"
"","Colin McDonald","NYI","R","33","1984-09-30","Wethersfield","CT","USA","USA","74","219","2003","EDM","2","21","51"
"","Colin Smith","COL","C","25","1993-06-20","Edmonton","AB","CAN","CAN","70","185","2012","COL","7","11","192"
"","Colin Wilson","NSH","C, L","28","1989-10-20","Greenwich","CT","USA","USA","73","221","2008","NSH","1","7","7"
"","Colton Orr","TOR","R","36","1982-03-03","Winnipeg","MB","CAN","CAN","75","222","-","-","-","-","-"
"","Colton Sceviour","DAL","C","29","1989-04-20","Red Deer","AB","CAN","CAN","72","195","2007","DAL","4","21","112"
"","Connor Murphy","ARI","D","25","1993-03-26","Dublin","OH","USA","USA","76","212","2011","PHX","1","20","20"
"","Conor Allen","NYR","D","28","1990-01-31","Chicago","IL","USA","USA","73","210","-","-","-","-","-"
"","Corban Knight","CGY","C","28","1990-09-10","Oliver","BC","CAN","CAN","74","195","2009","FLA","5","14","135"
"","Corey Perry","ANA","R","33","1985-05-16","Peterborough","ON","CAN","CAN","75","213","2003","ANA","1","28","28"
"","Corey Potter","CGY","D","34","1984-01-05","Lansing","MI","USA","USA","75","204","2003","NYR","4","21","122"
"","Corey Tropp","CBJ","R","29","1989-07-25","Grosse Pointe Woods","MI","USA","USA","72","186","2007","BUF","3","28","89"
"","Cory Conacher","NYI","C","28","1989-12-14","Burlington","ON","CAN","CAN","68","180","-","-","-","-","-"
"","Craig Adams","PIT","R","41","1977-04-26","Seria","","BRN","CAN","72","200","1996","HFD","9","8","223"
"","Craig Cunningham","ARI, BOS","L","28","1990-09-13","Trail","BC","CAN","CAN","70","184","2010","BOS","4","7","97"
"","Craig Smith","NSH","R","29","1989-09-05","Madison","WI","USA","USA","73","208","2009","NSH","4","7","98"
"","Curtis Glencross","CGY, WSH","L","35","1982-12-28","Kindersley","SK","CAN","CAN","73","197","-","-","-","-","-"
"","Curtis Hamilton","EDM","L","26","1991-12-04","Tacoma","WA","USA","USA","74","212","2010","EDM","2","18","48"
"","Curtis Lazar","OTT","C","23","1995-02-02","Salmon Arm","BC","CAN","CAN","72","209","2013","OTT","1","17","17"
"","Curtis McKenzie","DAL","L","27","1991-02-22","Golden","BC","CAN","CAN","74","205","2009","DAL","6","8","159"
"","Dainius Zubrus","N.J","C","40","1978-06-16","Elektrenai","","LTU","LTU","77","225","1996","PHI","1","15","15"
"","Dale Weise","MTL","R","30","1988-08-05","Winnipeg","MB","CAN","CAN","74","206","2008","NYR","4","20","111"
"","Dalton Prout","CBJ","D","28","1990-03-13","Kingsville","ON","CAN","CAN","75","230","2010","CBJ","6","4","154"
"","Damien Brunner","N.J","R","32","1986-03-09","Zürich","","CHE","CHE","71","185","-","-","-","-","-"
"","Damon Severson","N.J","D","24","1994-08-07","Melville","SK","CAN","CAN","74","205","2012","N.J","2","30","60"
"","Dan Boyle","NYR","D","42","1976-07-12","Ottawa","ON","CAN","CAN","71","194","-","-","-","-","-"
"","Dan Girardi","NYR","D","34","1984-04-29","Welland","ON","CAN","CAN","73","212","-","-","-","-","-"
"","Dan Hamhuis","VAN","D","35","1982-12-13","Smithers","BC","CAN","CAN","73","204","2001","NSH","1","12","12"
